AAAÑO,MMES,QCATEGORÍAS,INTIPO,IDDISTRITO,DPROVINCIA,QLUG,IDSITTURI,ADACTIV,NVISIT,QPROVENENCIA,PPRECIO
2017,enero,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 69,Turismo,7574,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 70,Turismo,3094,extranjero,S/ 65
2017,enero,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 71,Turismo,692,Nacional,S/ 30
2017,enero,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 72,Turismo,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,"nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui",Alpinismo,18,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,"nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui",Alpinismo,399,extranjero,S/ 65
2017,enero,Aventura,exonerado,Yungay,Yungay,Llanganuco,"nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui",Alpinismo,0,Nacional,S/ 30
2017,enero,Aventura,exonerado,Yungay,Yungay,Llanganuco,"nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui",Alpinismo,101,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Catac,Recuay,carpa,Pastoruri,Turismo,3728,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Catac,Recuay,carpa,Pastoruri,Turismo,430,extranjero,S/ 65
2017,enero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,320,Nacional,S/ 30
2017,enero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,extranjero,S/ 65
2017,enero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,Nacional,S/ 30
2017,enero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,extranjero,S/ 65
2017,enero,convencional,exonerado,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,Nacional,S/ 30
2017,enero,convencional,exonerado,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,78,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,245,extranjero,S/ 65
2017,enero,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,1,Nacional,S/ 30
2017,enero,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,6,extranjero,S/ 65
2017,enero,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,11,Nacional,S/ 30
